iter	Passed	Remaining
440	1270	1610
441	1272	1606
442	1274	1602
443	1276	1598
444	1279	1595
445	1281	1591
446	1283	1587
447	1287	1586
448	1290	1583
449	1292	1579
450	1294	1575
451	1296	1572
452	1298	1568
453	1300	1564
454	1302	1560
455	1304	1556
456	1306	1552
457	1308	1548
458	1311	1545
459	1313	1541
460	1315	1538
461	1317	1534
462	1321	1532
463	1323	1528
464	1326	1525
465	1328	1522
466	1331	1519
467	1333	1515
468	1335	1512
469	1337	1508
470	1339	1504
471	1341	1500
472	1343	1497
473	1345	1493
474	1347	1489
475	1349	1485
476	1352	1483
477	1354	1479
478	1356	1475
479	1359	1473
480	1362	1470
481	1364	1466
482	1368	1464
483	1370	1461
484	1373	1458
485	1375	1454
486	1377	1450
487	1379	1447
488	1381	1443
489	1383	1440
490	1385	1436
491	1387	1432
492	1389	1429
493	1391	1425
494	1393	1421
495	1395	1418
496	1397	1414
497	1401	1412
498	1403	1409
499	1405	1405
500	1409	1404
501	1412	1401
502	1415	1398
503	1417	1394
504	1419	1390
505	1421	1387
506	1423	1384
507	1426	1381
508	1428	1377
509	1430	1374
510	1433	1371
511	1436	1368
512	1438	1365
513	1441	1363
514	1443	1359
515	1446	1356
516	1448	1353
517	1450	1350
518	1452	1346
519	1454	1343
520	1457	1339
521	1459	1336
522	1461	1332
523	1463	1329
524	1466	1326
525	1468	1323
526	1470	1320
527	1472	1316
528	1475	1313
529	1477	1310
530	1479	1307
531	1482	1304
532	1485	1301
533	1487	1298
534	1489	1294
535	1491	1291
536	1493	1287
537	1495	1284
538	1497	1281
539	1499	1277
540	1501	1274
541	1504	1270
542	1506	1268
543	1508	1264
544	1510	1261
545	1513	1258
546	1515	1255
547	1517	1251
548	1520	1248
549	1523	1246
550	1526	1243
551	1528	1240
552	1530	1237
553	1532	1234
554	1534	1230
555	1536	1227
556	1538	1223
557	1540	1220
558	1543	1217
559	1545	1213
560	1547	1210
561	1549	1207
562	1551	1204
563	1553	1201
564	1557	1198
565	1559	1195
566	1562	1192
567	1564	1190
568	1567	1187
569	1569	1184
570	1571	1180
571	1576	1179
572	1579	1176
573	1581	1173
574	1583	1170
575	1585	1167
576	1588	1164
577	1590	1161
578	1592	1157
579	1594	1154
580	1597	1151
581	1599	1148
582	1603	1146
583	1607	1145
584	1609	1142
585	1611	1138
586	1613	1135
587	1616	1132
588	1618	1129
589	1620	1125
590	1623	1123
591	1625	1120
592	1627	1117
593	1630	1114
594	1632	1111
595	1635	1108
596	1640	1107
597	1642	1104
598	1644	1101
599	1646	1097
600	1648	1094
601	1650	1091
602	1652	1088
603	1654	1084
604	1656	1081
605	1659	1078
606	1661	1076
607	1664	1072
608	1666	1069
609	1668	1066
610	1670	1063
611	1673	1060
612	1676	1058
613	1680	1056
614	1683	1053
615	1685	1050
616	1687	1047
617	1689	1044
618	1690	1040
619	1692	1037
620	1694	1034
621	1696	1031
622	1698	1028
623	1701	1025
624	1703	1022
625	1705	1018
626	1707	1015
627	1710	1013
628	1713	1010
629	1715	1007
630	1719	1005
631	1722	1003
632	1724	1000
633	1726	996
634	1728	993
635	1730	990
636	1733	987
637	1735	984
638	1737	981
639	1738	978
640	1741	975
641	1743	971
642	1745	968
643	1747	965
644	1748	962
645	1751	959
646	1753	956
647	1755	953
648	1759	951
649	1763	949
650	1765	946
651	1767	943
652	1769	940
653	1771	937
654	1773	933
655	1775	931
656	1783	931
657	1787	928
658	1789	925
659	1792	923
660	1795	920
661	1797	917
662	1802	916
663	1804	913
664	1807	910
665	1809	907
666	1811	904
667	1813	901
668	1816	898
669	1818	895
670	1821	892
671	1823	889
672	1825	887
673	1827	884
674	1830	881
675	1834	879
676	1837	876
677	1839	873
678	1841	870
679	1843	867
680	1846	864
681	1848	861
682	1850	858
683	1852	855
684	1854	852
685	1856	849
686	1858	846
687	1860	843
688	1862	840
689	1865	838
690	1868	835
691	1870	832
692	1873	830
693	1876	827
694	1878	824
695	1881	821
696	1885	819
697	1887	816
698	1889	813
699	1891	810
700	1893	807
701	1896	804
702	1898	801
703	1906	801
704	1914	801
705	1918	798
706	1923	797
707	1926	794
708	1932	793
709	1942	793
710	1949	792
711	1955	791
712	1958	788
713	1966	787
714	1972	786
715	1974	783
716	1981	781
717	1984	779
718	1992	778
719	1997	776
720	2002	774
721	2005	772
722	2008	769
723	2015	768
724	2018	765
725	2024	764
726	2028	761
727	2030	758
728	2032	755
729	2057	761
730	2076	764
731	2084	763
732	2089	760
733	2096	759
734	2100	757
735	2109	756
736	2113	754
737	2120	752
738	2123	749
739	2131	748
740	2139	747
741	2149	747
742	2153	744
743	2155	741
744	2164	740
745	2172	739
746	2174	736
747	2176	733
748	2180	730
749	2182	727
750	2187	725
751	2190	722
752	2194	719
753	2197	716
754	2199	713
755	2201	710
756	2203	707
757	2206	704
758	2209	701
759	2211	698
760	2213	695
761	2217	692
762	2219	689
763	2222	686
764	2225	683
765	2228	680
766	2230	677
767	2232	674
768	2235	671
769	2237	668
770	2239	665
771	2242	662
772	2244	659
773	2247	656
774	2249	653
775	2251	649
776	2253	646
777	2255	643
778	2258	640
779	2261	637
780	2265	635
781	2267	632
782	2270	629
783	2272	626
784	2274	622
785	2276	619
786	2279	616
787	2281	613
788	2283	610
789	2285	607
790	2287	604
791	2290	601
792	2292	598
793	2294	595
794	2298	592
795	2301	589
796	2303	586
797	2306	583
798	2315	582
799	2318	579
800	2320	576
801	2322	573
802	2324	570
803	2326	567
804	2328	564
805	2330	560
806	2332	557
807	2334	554
808	2336	551
809	2341	549
810	2343	546
811	2347	543
812	2349	540
813	2352	537
814	2354	534
815	2356	531
816	2358	528
817	2360	525
818	2362	522
819	2364	519
820	2366	515
821	2368	512
822	2371	509
823	2373	506
824	2375	503
825	2377	500
826	2381	498
827	2383	495
828	2386	492
829	2389	489
830	2392	486
831	2394	483
832	2396	480
833	2398	477
834	2400	474
835	2402	471
836	2405	468
837	2407	465
838	2409	462
839	2413	459
840	2415	456
841	2418	453
842	2421	450
843	2424	448
